"i","j","outcome","pdist","i_clade","j_clade","WB","RI","RNI","ASYM"
"08A","03A","03A",14.5,"Psyr","Pflu","B",0,0,1
"08A","06A","06A",14.5,"Psyr","Pflu","B",0,0,1
"08A","46A","46A",14.8,"Psyr","Pflu","B",0,0,1
"06C","4326","06C",0,"Psyr","Psyr","W",0,0,1
"06C","19A","RNI",0.5,"Psyr","Psyr","W",0,1,0
"06C","07A","RNI",10.3,"Psyr","Psyr","W",0,1,0
"06C","22D","22D",10.3,"Psyr","Psyr","W",0,0,1
"06C","22B","RNI",10.3,"Psyr","Psyr","W",0,1,0
"06C","26B","RNI",10.3,"Psyr","Psyr","W",0,1,0
"06C","22C","RNI",13.6,"Psyr","Psyr","W",0,1,0
"06C","39F","06C",14.1,"Psyr","Psyr","W",0,0,1
"06C","08C","06C",13.8,"Psyr","Psyr","W",0,0,1
"06C","23A","06C",13.6,"Psyr","Psyr","W",0,0,1
"06C","24C","06C",12.6,"Psyr","Psyr","W",0,0,1
"06C","21A","06C",13.3,"Psyr","Psyr","W",0,0,1
"06C","20B","06C",13.3,"Psyr","Psyr","W",0,0,1
"06C","08B","08B",15.4,"Psyr","Psyr","W",0,0,1
"06C","36A","36A",15,"Psyr","Pflu","B",0,0,1
"06C","06B","06B",15,"Psyr","Pflu","B",0,0,1
"06C","07B","07B",15,"Psyr","Pflu","B",0,0,1
"06C","43A","43A",15,"Psyr","Pflu","B",0,0,1
"06C","29A","29A",15.1,"Psyr","Pflu","B",0,0,1
"06C","39A","39A",14.3,"Psyr","Pflu","B",0,0,1
"06C","34A","34A",14.9,"Psyr","Pflu","B",0,0,1
"06C","27A","27A",14.4,"Psyr","Pflu","B",0,0,1
"06C","36B","36B",14.4,"Psyr","Pflu","B",0,0,1
"06C","33E","33E",14.4,"Psyr","Pflu","B",0,0,1
"06C","13A","13A",14.4,"Psyr","Pflu","B",0,0,1
"06C","03A","03A",14.5,"Psyr","Pflu","B",0,0,1
"06C","06A","06A",14.5,"Psyr","Pflu","B",0,0,1
"06C","46A","46A",14.8,"Psyr","Pflu","B",0,0,1
"4326","19A","19A",0.5,"Psyr","Psyr","W",0,0,1
"4326","07A","07A",10.3,"Psyr","Psyr","W",0,0,1
"4326","22D","22D",10.3,"Psyr","Psyr","W",0,0,1
"4326","22B","22B",10.3,"Psyr","Psyr","W",0,0,1
"4326","26B","26B",10.3,"Psyr","Psyr","W",0,0,1
"4326","22C","22C",13.6,"Psyr","Psyr","W",0,0,1
"4326","39F","RI",14.1,"Psyr","Psyr","W",1,0,0
"4326","08C","RI",13.8,"Psyr","Psyr","W",1,0,0
"4326","23A","RI",13.6,"Psyr","Psyr","W",1,0,0
"4326","24C","RI",12.6,"Psyr","Psyr","W",1,0,0
"4326","21A","21A",13.3,"Psyr","Psyr","W",0,0,1
"4326","20B","20B",13.3,"Psyr","Psyr","W",0,0,1
"4326","08B","08B",15.4,"Psyr","Psyr","W",0,0,1
"4326","36A","36A",15,"Psyr","Pflu","B",0,0,1
"4326","06B","06B",15,"Psyr","Pflu","B",0,0,1
"4326","07B","07B",15,"Psyr","Pflu","B",0,0,1
"4326","43A","43A",15,"Psyr","Pflu","B",0,0,1
"4326","29A","29A",15.1,"Psyr","Pflu","B",0,0,1
"4326","39A","39A",14.3,"Psyr","Pflu","B",0,0,1
"4326","34A","34A",14.9,"Psyr","Pflu","B",0,0,1
"4326","27A","27A",14.4,"Psyr","Pflu","B",0,0,1
"4326","36B","36B",14.4,"Psyr","Pflu","B",0,0,1
"4326","33E","33E",14.4,"Psyr","Pflu","B",0,0,1
"4326","13A","13A",14.4,"Psyr","Pflu","B",0,0,1
